ID;Type;SKU;Name;Published;Visibility in catalog;Sale price;Regular price;In stock? ;Short description;Description;Categories;Images
1;simple;DFTN/028038942;Набор ножей;1;visible;;;1;;;Главная > Товары для кухни > Прочее для кухни;http://wp1.9854845217.pkzyp.spectrum.myjino.ru/wp-content/uploads/content-images/2015/08/tj35mS-S9Bc.jpg
2;simple;CWFZ/785279350;Флеш тату Shimmer (Metallic Jewelry Tattoos);1;visible;12.90;;1;"<div class=""woo-short-description"">
<p>Временная татуировка в домашних условиях? Теперь это реально! Просто купите флеш тату Shimmer (Metallic Jewelry Tattoos), нанесите и наслаждайтесь.</p>
</div>";"<div>
<h2 class=""nk_heading"">Описание</h2>
<p>Хотите выделиться из толпы? Надоело  быть в однообразной серой массе? Временная татуировка Tatoo Flash позволит вам выделиться, выглядеть стильно и ярко! Простая в использовании схема украсит ваше тело и внесет элемент волшебства в образ.</p>
<h2>Плюсы временного флэш тату:</h2>
<p><img alt=""Shimmer (Metallic Jewelry Tattoos)"" class=""size-large wp-image-14166 alignleft"" height=""220"" sizes=""(max-width: 450px) 100vw, 450px"" src=""../wp-content/uploads/content-images/2016/01/tatu6.jpg"" srcset=""../wp-content/uploads/content-images/2016/01/tatu6.jpg 450w, ../wp-content/uploads/content-images/2016/01/tatu6-300x147.jpg 300w"" width=""450""/></p>
<ul>
<li>безопасно для здоровья;</li>
<li>легко наносится;</li>
<li>долго держится;</li>
<li>оригинально смотрится;</li>
<li>водостойкая.</li>
</ul>
<p>Теперь сделать временную татуировку в домашних условиях проще простого! Просто выберите рисунок, снимите защитную пленку и приложите тату к коже. Остается лишь промокнуть влажной губкой и снять бумажную подложку!</p>
<h3>Уход за временной флэш тату Shimmer (Metallic Jewelry Tattoos):</h3>
<ul>
<li>не рекомендуется намыливать татуировку и наносить на нее косметику на масляной основе;</li>
<li>желательно ограничить трение с одеждой;</li>
<li>купание и загар не вредят тату.</li>
</ul>
<h4>Комплектация:</h4>
<ul>
<li>4 листа с различными узорами.</li>
</ul>
</div>";Главная > Подарки, Главная > Подарки > Подарки для женщин, Главная > Красота и здоровье, Главная > Красота и здоровье > Прочее;http://wp1.9854845217.pkzyp.spectrum.myjino.ru/wp-content/uploads/content-images/2016/01/tatu7.jpg, http://wp1.9854845217.pkzyp.spectrum.myjino.ru/wp-content/uploads/content-images/2016/01/tatu6.jpg
3;simple;EGXA/792735673;Приспособление для отбивания мяса Meat Tenderizer;1;visible;;;0;"<div class=""woo-short-description"">
<p>Позволяет отбивать мясо максимально удобно и безопасно, сохраняя при этом его свойства.</p>
</div>";;Главная > Товары для кухни, Главная > Товары для кухни > Прочее для кухни;http://wp1.9854845217.pkzyp.spectrum.myjino.ru/wp-content/uploads/content-images/2015/06/Meat-20Tenderizer.jpg, http://wp1.9854845217.pkzyp.spectrum.myjino.ru/wp-content/uploads/content-images/2015/06/Svinyie-otbivnyie-v-panirovke.jpg
4;simple;GOHW/960060843;Электровеник Swivel Sweeper G3 (Cвивел Cвипер Джи 3);1;visible;;;0;"<div class=""woo-short-description"">
<p>Swivel Sweeper G3  электровеник, который подходит для быстрой и эффективной чистки полов или ковров. Веник собирает пыль, волосы, шерсть и другой мусор при движении в любом направлении!</p>
</div>";;Главная > Товары для дома, Главная > Товары для дома > Для уборки;http://wp1.9854845217.pkzyp.spectrum.myjino.ru/wp-content/uploads/content-images/2015/06/Swivel-Sweeper-G3.jpg
5;simple;VLRB/959828957;Силиконовый браслет Power Balance;1;visible;4.90;;1;"<div class=""woo-short-description"">
<p>Браслет для повышения энергии и улучшения состояния организма.</p>
</div>";"<div>
<h2 class=""nk_heading"">Описание</h2>
<p>Хотите стать активнее и раскрыть скрытый потенциал своего тела? Энергетический браслет Power Balance поможет вам в этом! Инновационная формула браслета разработана учеными специально для поддержания формы спортивных людей. Но это также идеальное средство поддержки для менее активных людей – если вы много времени проводите за сидячей или умственной работой, много устаете или болели силиконовый браслет Power Balance станет для вас отличным помощником.</p>
<h3>Что такое энергетический браслет Power Balance</h3>
<p>Голограмма, встроенная в энергетический браслет Power Balance, активно взаимодействует с энергетическим полем человека и раскрывает весь спектр его физических возможностей – в каждом случае влияние строго индивидуальное.</p>
<h2>Почему стоит купить энергетический браслет Power Balance</h2>
<ul>
<li>Браслет Power Balance способствует улучшению координации движений;</li>
<li>Повышает стойкость и выносливость;</li>
<li>Раскрывает и активизирует вашу потенциальную энергию;</li>
<li>Снижает негативные последствия стресса;</li>
<li>Благотворно влияет на людей любого возраста;</li>
<li>Абсолютно безопасен;</li>
<li>Дизайн позволяет вписаться практически в любой образ, не выбиваясь из общего вида.</li>
</ul>
<h3>Состав энергетического браслета:</h3>
<ol>
<li>Эластичный силикон;</li>
<li>Турмалин;</li>
<li>Резонансный вулканический пепел;</li>
<li>Частицы титана;</li>
<li>Миларовая голограмма.</li>
</ol>
<h2>Что происходит с организмом под влиянием энергетического браслета Power Balance</h2>
<p><img alt=""Pow-bal"" class=""size-large wp-image-31092 aligncenter"" height=""322"" sizes=""(max-width: 600px) 100vw, 600px"" src=""../wp-content/uploads/content-images/2016/09/Pow-bal-600x322.jpg"" srcset=""../wp-content/uploads/content-images/2016/09/Pow-bal.jpg 600w, ../wp-content/uploads/content-images/2016/09/Pow-bal-300x161.jpg 300w"" width=""600""/></p>
<p>Действие энергетического браслета сравнимо с воздействием природных камней и минералов. Он активно поддерживает ионный баланс в теле. При этом браслет излучает электромагнитные волны, создающие резонанс с биополем и биоритмами человека. Заметный результат проявляется индивидуально – от нескольких дней до нескольких недель.</p>
<p>Покупайте энергетический браслет Power Balance и всегда держите свой организм в тонусе!</p>
<h3>Возможные размеры энергетических браслетов:</h3>
<ul>
<li>XS — 16 см.</li>
<li>S — 17.5 см.</li>
<li>M — 19 см.</li>
<li>L — 20.5 см.</li>
<li>XL — 22 см.</li>
</ul>
<p>Во избежание передавливания руки стоит добавлять в полученному обхвату руки 0,1 – 1 см. Слишком тесного контакта с рукой рекомендуется избегать.</p>
</div>";Главная > Товары для спорта, Главная > Красота и здоровье, Главная > Красота и здоровье > Прочее;http://wp1.9854845217.pkzyp.spectrum.myjino.ru/wp-content/uploads/content-images/2016/09/power_balance.jpg, http://wp1.9854845217.pkzyp.spectrum.myjino.ru/wp-content/uploads/content-images/2016/09/Pow-bal.jpg
6;simple;UOJS/730149058;Решетка перепелиная;1;visible;10.00;;1;"<div class=""woo-short-description"">
<p>Производитель: Баган (Россия, г.Новосибирск)<br/>
Вместимость яиц: 143 шт</p>
</div>";"<div>
<h2 class=""nk_heading"">Описание</h2>
<p>Производитель: Баган (Россия, г.Новосибирск)<br/>
Вместимость яиц: 143 шт</p>
<p class=""manufacturer_tax"">Производитель: Россия.</p>
</div>";Главная > Бытовая техника > Инкубаторы;http://wp1.9854845217.pkzyp.spectrum.myjino.ru/wp-content/uploads/content-images/2015/06/Image_du.jpg
7;simple;QQXL/679796571;Автокомбайн «5 в 1»;1;visible;;;0;;;Главная > Товары для автомобиля;http://wp1.9854845217.pkzyp.spectrum.myjino.ru/wp-content/uploads/content-images/2016/09/avtokombain.jpg, http://wp1.9854845217.pkzyp.spectrum.myjino.ru/wp-content/uploads/content-images/2016/09/avtokompressor.jpg, http://wp1.9854845217.pkzyp.spectrum.myjino.ru/wp-content/uploads/content-images/2016/09/avtokombain.jpg
8;simple;GTXI/601784506;;1;visible;17.90;;1;"<div class=""woo-short-description"">
<p>Игровой набор Peppa Pig для игр, развития и обучения детей.</p>
</div>";;Главная > Товары для детей > Детские Игрушки, Главная > Товары для детей;http://wp1.9854845217.pkzyp.spectrum.myjino.ru/wp-content/uploads/content-images/2015/12/peppa.jpg
9;simple;HEWE/759529504;Наушники Monster Beats STUDIO;1;visible;39.90;65.00;1;"<div class=""woo-short-description"">
<p>Отличное качество звука в известных во всем мире наушниках Monster Beats by Dr Dre будет радовать вас снова и снова!</p>
</div>";;Главная > Отдых и хобби, Главная > Подарки;http://wp1.9854845217.pkzyp.spectrum.myjino.ru/wp-content/uploads/content-images/2016/01/beats_by_dr_dre.jpg, http://wp1.9854845217.pkzyp.spectrum.myjino.ru/wp-content/uploads/content-images/2016/01/beats-by-dr-dre-logo.jpg
10;simple;VMNJ/207413655;Кинетический песок Kinetic Sand;1;visible;;;0;"<div class=""woo-short-description"">
<p>Оригинальный живой песок для веселых игр детей и релаксации взрослых позволит разнообразить ваш досуг в любое время года.</p>
</div>";;Главная > Товары для детей > Детские Игрушки, Главная > Отдых и хобби, Главная > Товары для детей;http://wp1.9854845217.pkzyp.spectrum.myjino.ru/wp-content/uploads/content-images/2016/01/pesok4.jpg, http://wp1.9854845217.pkzyp.spectrum.myjino.ru/wp-content/uploads/content-images/2016/01/pesok3.jpg
